Time (s),Upstream (V),Downstream (V)
45.933,0.26864,0.14876
45.967,0.26737,0.1322
46,0.27756,0.1322
46.033,0.26864,0.1513
46.067,0.26992,0.14748
46.1,0.25973,0.14621
46.133,0.26864,0.15512
46.167,0.27501,0.15003
46.2,0.26101,0.1513
46.233,0.27883,0.14748
46.267,0.27119,0.14621
46.3,0.28902,0.15003
46.333,0.28392,0.15894
46.367,0.26228,0.14876
46.4,0.25591,0.15385
46.433,0.25591,0.15385
46.467,0.26101,0.15003
46.5,0.26483,0.14239
46.533,0.26483,0.14876
46.567,0.26101,0.14366
46.6,0.26737,0.14748
46.633,0.26864,0.14366
46.667,0.26483,0.15767
46.7,0.25719,0.14876
46.733,0.26228,0.14494
46.767,0.25464,0.14366
46.8,0.25464,0.14621
46.833,0.25337,0.14112
46.867,0.24573,0.14494
46.9,0.25591,0.14112
46.933,0.24955,0.13857
46.967,0.25209,0.15258
47,0.24573,0.12838
47.033,0.27246,0.15767
47.067,0.26737,0.15258
47.1,0.26101,0.15003
47.133,0.26355,0.15003
47.167,0.26737,0.14366
47.2,0.27119,0.1322
47.233,0.2661,0.15258
47.267,0.2661,0.15385
47.3,0.25846,0.15512
47.333,0.27374,0.1564
47.367,0.27246,0.1513
47.4,0.26864,0.15258
47.433,0.26737,0.13475
47.467,0.27628,0.14748
47.5,0.27374,0.15003
47.533,0.28392,0.14621
47.567,0.28265,0.14748
47.6,0.28138,0.14112
47.633,0.28265,0.15003
47.667,0.28138,0.15258
47.7,0.2801,0.15512
47.733,0.27628,0.14876
47.767,0.27883,0.1513
47.8,0.26864,0.1513
47.833,0.27628,0.15767
47.867,0.27883,0.14366
47.9,0.27119,0.1564
47.933,0.27246,0.15385
47.967,0.26864,0.1513
48,0.26101,0.15003
48.033,0.26101,0.15512
48.067,0.26355,0.1513
48.1,0.25973,0.13475
48.133,0.26101,0.13984
48.167,0.26737,0.14366
48.2,0.26737,0.13984
48.233,0.27119,0.1373
48.267,0.27119,0.1564
48.3,0.26864,0.14239
48.333,0.26737,0.14112
48.367,0.25846,0.14621
48.4,0.24827,0.13984
48.433,0.26355,0.14494
48.467,0.25846,0.13093
48.5,0.27883,0.14239
48.533,0.27756,0.15258
48.567,0.2801,0.1513
48.6,0.27883,0.14621
48.633,0.27883,0.14876
48.667,0.25973,0.1513
48.7,0.25719,0.14621
48.733,0.26228,0.15894
48.767,0.26483,0.1564
48.8,0.26992,0.14748
48.833,0.26864,0.14748
48.867,0.27374,0.15258
48.9,0.27246,0.14112
48.933,0.25846,0.14621
48.967,0.25719,0.14621
49,0.25591,0.15003
49.033,0.26737,0.14876
49.067,0.25973,0.1513
49.1,0.27119,0.15003
49.133,0.27501,0.14876
49.167,0.26228,0.15258
49.2,0.26228,0.15003
49.233,0.2661,0.16022
49.267,0.26101,0.15385
49.3,0.26864,0.14876
49.333,0.2661,0.1513
49.367,0.25973,0.1564
49.4,0.2661,0.1513
49.433,0.25591,0.14494
49.467,0.26228,0.1564
49.5,0.25209,0.12202
49.533,0.26355,0.14748
49.567,0.247,0.15258
49.6,0.2801,0.14621
49.633,0.27119,0.15003
49.667,0.2801,0.14494
49.7,0.27883,0.13857
49.733,0.27883,0.1513
49.767,0.2661,0.1564
49.8,0.26101,0.15512
49.833,0.26737,0.14494
49.867,0.25846,0.15003
49.9,0.26864,0.14748
49.933,0.26737,0.1513
49.967,0.27246,0.15767
50,0.2661,0.15512
50.033,0.25591,0.15512
50.067,0.25846,0.15003
50.1,0.27374,0.14366
50.133,0.26864,0.14748
50.167,0.26992,0.1564
50.2,0.28902,0.14748
50.233,0.2801,0.14621
50.267,0.30939,0.14621
50.3,0.31066,0.15258
50.333,0.35013,0.14748
50.367,0.3514,0.14621
50.4,0.43034,0.15512
50.433,0.43161,0.14876
50.467,0.50164,0.15003
50.5,0.55129,0.1564
50.533,0.57803,0.10037
50.567,0.7359,0.14494
50.6,0.73463,0.14366
50.633,0.90141,0.14494
50.667,0.90396,0.1513
50.7,1.142,0.15512
50.733,1.1408,0.14112
50.767,1.3992,0.15385
50.8,1.4183,0.15258
50.833,1.5291,0.14621
50.867,1.673,0.14239
50.9,1.6831,0.14112
50.933,1.8881,0.1373
50.967,1.8881,0.14366
51,2.1351,0.14876
51.033,2.1237,0.1564
51.067,2.3783,0.1513
51.1,2.3681,0.1513
51.133,2.5171,0.15258
51.167,2.5705,0.14621
51.2,2.6469,0.14876
51.233,2.7615,0.14494
51.267,2.7552,0.15385
51.3,2.8685,0.15003
51.333,2.8634,0.1564
51.367,2.913,0.16022
51.4,2.9054,0.14494
51.433,2.8736,0.15894
51.467,2.8761,0.16022
51.5,2.8214,0.15003
51.533,2.7755,0.14876
51.567,2.7552,0.15258
51.6,2.689,0.14876
51.633,2.6762,0.14239
51.667,2.4942,0.13602
51.7,2.4954,0.14239
51.733,2.3286,0.14239
51.767,2.3261,0.14239
51.8,2.1364,0.14112
51.833,2.1058,0.13602
51.867,2.0027,0.14239
51.9,1.925,0.15894
51.933,1.9187,0.14621
51.967,1.743,0.15385
52,1.7404,0.14112
52.033,1.5749,0.15003
52.067,1.5724,0.14494
52.1,1.4336,0.14876
52.133,1.4234,0.14239
52.167,1.3165,0.1513
52.2,1.2643,0.15385
52.233,1.2388,0.14366
52.267,1.1077,0.14366
52.3,1.1051,0.15258
52.333,0.98417,0.14494
52.367,0.9829,0.14748
52.4,0.89887,0.14112
52.433,0.89377,0.13475
52.467,0.80211,0.14366
52.5,0.79065,0.14239
52.533,0.76773,0.14748
52.567,0.73463,0.14876
52.6,0.72444,0.15258
52.633,0.65442,0.15003
52.667,0.65442,0.1513
